reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,Id
0cd4938d-6a9b-40ba-b750-25a079948523,country yass23,https://play-lh.googleusercontent.com/a/ACg8ocKrAK2OuLLkQdw6IcDtucUgDt2Yl90QSkAi-okV2y6g=mo,It's the best and it's okay but UT sometimes lagges a little bit but then again it might just be my phone,5,0,,2024-02-16 08:13:56,,,,com.snapchat.android
89655ce7-0dee-4de4-8efd-20b2612fb399,Waziri Saidi,https://play-lh.googleusercontent.com/a/ACg8ocL3GPxMhMtvZcTl-ipJ0KsZ-XXeDnKVMXVUdz_DxA_l=mo,Engeneering,5,0,12.73.0.40,2024-02-16 07:32:13,,,12.73.0.40,com.snapchat.android
0b3c3c27-c653-4280-8534-8e203640f295,Benjie Bruce,https://play-lh.googleusercontent.com/a/ACg8ocLyj0uuG84yF4FaHkGOyzDKrfpux_MDctcvNedI2SxU=mo,Nice,5,0,12.73.0.40,2024-02-16 07:13:31,,,12.73.0.40,com.snapchat.android
fde6fb8d-59de-4b18-9aa1-5c1b191a2e8a,Shrvan Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjVfQgw7y7yvfLvhzuM-MQxq0rcsh6iBH29_WEiGvTxsww,Nice to meet,5,0,12.73.0.40,2024-02-16 06:09:17,,,12.73.0.40,com.snapchat.android
bfd0981c-c0de-4545-9dfc-9ff98e7b7cb9,Briby T-Rap,https://play-lh.googleusercontent.com/a-/ALV-UjUwP8dwd-mhHB4guYCNzPKNRsFU-E97ymvLQTwMkVXC6Q,Good application,5,16,,2024-02-16 03:15:48,,,,com.snapchat.android
f4676e68-2feb-42b0-9b47-f6e3b1092e45,Sadiq Shuaib DR,https://play-lh.googleusercontent.com/a/ACg8ocJTPttQsDNDmWjxMaBzET6qOfn4ThHHdN9TtQbhxkyJ=mo,It's a very nice app for communication,5,0,,2024-02-16 01:55:07,,,,com.snapchat.android
9ca50ddc-8bae-42f4-a715-39d882f7706b,Mamas Bakery,https://play-lh.googleusercontent.com/a/ACg8ocKMYmi8caT8xb-lU5bRgEyfDq38hYdRgaIt1KUn_cT7=mo,I don't want yo describe it,5,0,,2024-02-16 01:27:34,,,,com.snapchat.android
16942f18-0012-4238-9a0f-dcb509b8a5ca,Aneesa Khan,https://play-lh.googleusercontent.com/a/ACg8ocLFsag0sp0lDoX6pRiyh4TvGfRe0Uor1BecVh4z1yPW=mo,It's good,5,0,,2024-02-16 00:58:30,,,,com.snapchat.android
65b1efe1-3f46-4be3-a416-b855306d3b5e,Kibzpro WASSWA,https://play-lh.googleusercontent.com/a/ACg8ocIXKAIjO6qE3-koI7B8YoEs8pzUTt8PJTTxb_Irucze=mo,It good.,5,8,,2024-02-16 00:32:31,,,,com.snapchat.android
641f1f65-8da4-4afe-ba7c-63ad8c36d1c0,Lidia Hashchuk,https://play-lh.googleusercontent.com/a/ACg8ocJ0U0YqaoJleXOPCZVxDZO9-I2mW1lXEtxI6-owkKKC=mo,It's really good I love it,5,0,12.73.0.40,2024-02-15 23:52:30,,,12.73.0.40,com.snapchat.android
c4785548-b48b-46be-83f7-39e47e6b4d27,Lawrene Zezayi,https://play-lh.googleusercontent.com/a/ACg8ocIIToNOGRzaXs7EVaiguHV2dOqGUk4WdyNiqTmiH1Eg=mo,It's amazing,5,1,,2024-02-15 23:28:14,,,,com.snapchat.android
bc62ee19-4c51-4fd4-8aea-78e389137608,Muhammad Abubakar Abubakar,https://play-lh.googleusercontent.com/a/ACg8ocL87coK2k7BIiUdljbD_IdZ6HnJD9gtHXS3VeqEGGKV=mo,sell,5,0,,2024-02-15 23:15:40,,,,com.snapchat.android
b1428787-a8ae-4131-a805-f0c37b0ce86f,Nwafor Adaugo,https://play-lh.googleusercontent.com/a/ACg8ocJ_r1lCFeeMYZLwczeTMZ0cBiCSxGuiegqczB01NoCn=mo,"It's a good app and nice app makes it so easy for you to add some light,skin tone or even favorite pet",5,0,,2024-02-15 22:58:08,,,,com.snapchat.android
c15891fe-a6f8-4778-be89-3fc5ac7bba72,Kalithas Thas,https://play-lh.googleusercontent.com/a/ACg8ocL4HGI6yMABZ3mfT4EW_R6P6sYNPCc3onunBSnIJUes=mo,Sna,5,0,,2024-02-15 21:16:11,,,,com.snapchat.android
7e4d49b8-14b6-4c1f-8514-6f1d2e5889c1,Shawnique Newman,https://play-lh.googleusercontent.com/a-/ALV-UjV2BpOItl7ClDbDduihlbBD-5dbakCHwWntqAx-E2AMsQ,I like this app because I can make so much video and send it to my friends.,5,0,,2024-02-15 20:55:57,,,,com.snapchat.android
ef33dd6a-1760-4679-8048-5c9fe963cb5a,Harsukh,https://play-lh.googleusercontent.com/a/ACg8ocLJ57dNxgdLGCrGJhbYtIMUh6tHlUWb95M6BJUfxC8G=mo,WHAT RATE FOR THE SAMSUNG GALAXY J2 MOBILE PHONE,5,6,,2024-02-15 20:32:08,,,,com.snapchat.android
a504361a-f143-4eff-9a66-bbd33c482eee,Gauri Kamble,https://play-lh.googleusercontent.com/a/ACg8ocJCCxndQASejdPg95VXCeMJlCzUHt8X3npjZYQV99yd=mo,Best for all,5,0,12.73.0.40,2024-02-15 20:16:59,,,12.73.0.40,com.snapchat.android
7874d57d-ac5b-422a-962e-50b8d11b70f3,A/Aaziiz Su'uudaa,https://play-lh.googleusercontent.com/a/ACg8ocLkB5ufAsnXUq6qmZIjGg9GP9nUWTDK0Gr7x1JkAQD-=mo,Abdulaziiz Su'uudaa,5,0,,2024-02-15 19:51:36,,,,com.snapchat.android
a5c1c6ac-5fd0-470d-a294-88409f2bbacc,Gal Badrah,https://play-lh.googleusercontent.com/a/ACg8ocL7pXWRUIHHfD_xIx8u2DBav7etJUAyd-JiKXm_-yVF=mo,Good,5,1,,2024-02-15 19:09:14,,,,com.snapchat.android
